timestamp;datetime;focus_value;focus_metric;is_locked;lock_position;current_position;pi_output;crop_size;crop_center;error;integral_term;derivative_term;step_size_um;travel_used_um
1761823240.30289;2025-10-30 12:20:40.302;2656.5;peak;False;;-56679.375;;1556;[1000, 952];;;;;0.0
1761823253.9845881;2025-10-30 12:20:53.984;2900.5;peak;False;;-56679.375;;1556;[1000, 952];;;;;0.0
1761823269.184435;2025-10-30 12:21:09.184;1702.5;peak;False;;-56679.375;;1556;[1000, 952];;;;;0.0
1761823281.169973;2025-10-30 12:21:21.169;1789.5;peak;False;;-56679.375;;1556;[1000, 952];;;;;0.0
1761823281.5224771;2025-10-30 12:21:21.522;1790.5;peak;False;;-56679.375;;1556;[1000, 952];;;;;0.0
1761823281.8112488;2025-10-30 12:21:21.811;1790.0;peak;False;;-56679.375;;1556;[1000, 952];;;;;0.0
1761823281.93765;2025-10-30 12:21:21.937;1790.0;peak;False;;-56679.375;;1556;[1000, 952];;;;;0.0
1761823282.085247;2025-10-30 12:21:22.085;1790.0;peak;False;;-56679.375;;1556;[1000, 952];;;;;0.0
1761823282.2191958;2025-10-30 12:21:22.219;1790.5;peak;False;;-56679.375;;1556;[1000, 952];;;;;0.0
1761823282.37102;2025-10-30 12:21:22.371;1790.0;peak;False;;-56679.375;;1556;[1000, 952];;;;;0.0
1761823282.499497;2025-10-30 12:21:22.499;1790.5;peak;False;;-56679.375;;1556;[1000, 952];;;;;0.0
1761823282.657696;2025-10-30 12:21:22.657;1790.0;peak;False;;-56679.375;;1556;[1000, 952];;;;;0.0
1761823283.5786638;2025-10-30 12:21:23.578;1790.0;peak;False;;-56679.375;;1556;[1000, 952];;;;;0.0
1761823283.744763;2025-10-30 12:21:23.744;1790.0;peak;False;;-56679.375;;1556;[1000, 952];;;;;0.0
1761823283.8817248;2025-10-30 12:21:23.881;1790.0;peak;False;;-56679.375;;1556;[1000, 952];;;;;0.0
1761823284.0202298;2025-10-30 12:21:24.020;1790.0;peak;False;;-56679.375;;1556;[1000, 952];;;;;0.0
1761823284.23028;2025-10-30 12:21:24.230;1790.0;peak;False;;-56679.375;;1556;[1000, 952];;;;;0.0
1761823284.367828;2025-10-30 12:21:24.367;1790.0;peak;False;;-56679.375;;1556;[1000, 952];;;;;0.0
1761823284.5024269;2025-10-30 12:21:24.502;1790.0;peak;False;;-56679.375;;1556;[1000, 952];;;;;0.0
