timestamp;datetime;focus_value;focus_metric;is_locked;lock_position;current_position;pi_output;crop_size;crop_center;error;integral_term;derivative_term;step_size_um;travel_used_um
1767858070.308985;2026-01-08 08:41:10.308;117.59064082300252;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
1767858070.5064902;2026-01-08 08:41:10.506;117.81368223881462;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
1767858070.6294222;2026-01-08 08:41:10.629;117.81368223881462;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
1767858070.756373;2026-01-08 08:41:10.756;117.81368223881462;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
1767858070.878308;2026-01-08 08:41:10.878;117.81368223881462;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
1767858070.9983191;2026-01-08 08:41:10.998;117.81368223881462;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
1767858071.238118;2026-01-08 08:41:11.238;117.81368223881462;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
1767858071.369577;2026-01-08 08:41:11.369;117.81368223881462;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
1767858071.489967;2026-01-08 08:41:11.489;117.81368223881462;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
1767858071.609407;2026-01-08 08:41:11.609;117.81368223881462;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
1767858071.727078;2026-01-08 08:41:11.727;117.81368223881462;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
1767858071.847184;2026-01-08 08:41:11.847;117.81368223881462;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
1767858071.966004;2026-01-08 08:41:11.966;117.81368223881462;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
1767858072.084646;2026-01-08 08:41:12.084;117.81368223881462;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
1767858072.203839;2026-01-08 08:41:12.203;117.81368223881462;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
1767858072.334374;2026-01-08 08:41:12.334;117.81368223881462;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
1767858072.4531572;2026-01-08 08:41:12.453;117.81368223881462;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
1767858072.5743308;2026-01-08 08:41:12.574;117.81368223881462;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
1767858072.694687;2026-01-08 08:41:12.694;117.81368223881462;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
1767858072.814007;2026-01-08 08:41:12.814;117.81368223881462;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
1767858072.9340532;2026-01-08 08:41:12.934;117.81368223881462;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
1767858073.055748;2026-01-08 08:41:13.055;117.81368223881462;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
1767858073.1751502;2026-01-08 08:41:13.175;117.81368223881462;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
1767858073.293036;2026-01-08 08:41:13.293;117.81368223881462;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
1767858073.4143202;2026-01-08 08:41:13.414;117.81368223881462;peak;False;;5098.75;;1168;[1268, 1260];;;;;0.0
